,Time,Births,Deaths,NaturalIncreases,InterstateArrivals,OverseasArrivals,OverseasDepartures,NetOverseasDepartures,NetOverseasMigration,EstimatedResidentPopulation,PercenChangeOverThePreviousYear
0,Jun-1981,60.3,26.7,33.6,78.0,48.2,19.1,19.1,25.6,14923.3,
4,Jun-1982,60.5,27.7,32.7,81.7,45.3,20.5,20.5,28.1,15184.2,1.75
8,Jun-1983,61.0,26.4,34.6,71.0,34.1,22.5,22.5,10.9,15393.5,1.38
12,Jun-1984,59.8,26.9,32.9,67.3,32.0,23.0,23.0,13.2,15579.4,1.21
16,Jun-1985,62.0,28.5,33.5,74.5,36.5,22.5,22.5,16.2,15788.3,1.34
20,Jun-1986,60.5,27.5,33.0,77.8,43.2,21.8,21.8,23.4,16018.4,1.46
24,Jun-1987,60.8,28.4,32.4,73.9,47.5,22.6,22.6,29.1,16263.9,1.53
28,Jun-1988,60.6,28.7,31.9,83.9,55.4,24.1,24.1,30.2,16532.2,1.65
32,Jun-1989,62.7,29.8,32.9,94.9,53.4,27.3,27.3,19.1,16814.4,1.71
36,Jun-1990,67.7,29.2,38.5,84.3,50.8,32.1,32.1,22.6,17065.1,1.49
40,Jun-1991,66.3,29.3,37.0,79.7,49.0,32.2,32.2,13.5,17284.0,1.28
44,Jun-1992,65.8,31.7,34.1,80.1,46.1,32.5,32.5,6.4,17478.6,1.13
48,Jun-1993,65.1,30.3,34.9,79.0,38.4,31.4,31.4,-6.3,17634.8,0.89
52,Jun-1994,63.9,31.6,32.3,80.1,43.7,32.0,32.0,4.4,17805.5,0.97
56,Jun-1995,64.3,31.5,32.8,96.0,50.5,32.7,32.7,23.8,18004.9,1.12
60,Jun-1996,62.0,31.7,30.3,84.8,49.9,34.2,34.2,20.6,18224.8,1.22
64,Jun-1997,63.6,31.4,32.2,90.0,49.5,38.9,38.9,6.1,18423.0,1.09
68,Jun-1998,62.3,31.8,30.5,89.4,54.1,45.6,45.6,8.5,18607.6,1.0
72,Jun-1999,62.7,32.2,30.5,89.2,55.6,40.8,40.8,14.8,18812.3,1.1
76,Jun-2000,62.1,32.3,29.8,91.3,62.4,46.9,46.9,15.5,19028.8,1.15
80,Jun-2001,61.8,32.1,29.7,93.1,71.2,48.8,48.8,22.4,19274.7,1.29
84,Jun-2002,61.9,33.1,28.9,97.9,70.3,50.3,50.3,15.3,19495.2,1.14
88,Jun-2003,62.5,32.5,30.0,97.7,74.1,48.7,48.7,16.1,19720.7,1.16
92,Jun-2004,61.3,33.0,28.2,91.8,80.0,56.1,56.1,12.1,19932.7,1.07
96,Jun-2005,67.0,32.8,34.1,87.1,84.6,57.5,57.5,17.8,20176.8,1.22
100,Jun-2006,66.8,34.2,32.6,82.9,92.4,61.4,61.4,21.4,20451.0,1.36
104,Jun-2007,72.3,34.8,37.5,91.9,98.8,49.6,49.6,49.2,20827.6,1.84
108,Jun-2008,72.9,35.1,37.7,88.2,118.2,53.1,53.1,65.1,21249.2,2.02
112,Jun-2009,74.9,35.5,39.4,87.6,105.4,51.4,51.4,54.0,21691.7,2.08
116,Jun-2010,76.0,35.8,40.3,82.4,88.5,56.5,56.5,32.0,22031.8,1.57
120,Jun-2011,76.3,37.4,39.0,83.0,94.0,54.7,54.7,39.2,22340.0,1.4
124,Jun-2012,77.5,37.5,40.0,85.4,104.0,52.1,52.1,51.9,22733.5,1.76
128,Jun-2013,77.1,37.3,39.8,90.1,102.2,57.5,57.5,44.8,23128.1,1.74
132,Jun-2014,76.9,38.5,38.4,84.9,94.3,63.9,63.9,30.4,23475.7,1.5
136,Jun-2015,75.4,39.5,35.9,91.0,98.9,65.6,65.6,33.3,23816.0,1.45
140,Jun-2016,78.2,39.2,39.0,100.1,106.8,63.3,63.3,43.6,24190.9,1.57
144,Jun-2017,76.3,40.1,36.2,95.7,110.3,63.0,63.0,47.3,24601.9,1.7
148,Jun-2018,75.9,39.4,36.5,97.3,110.6,63.1,63.1,47.6,24982.7,1.55
152,Jun-2019,76.4,41.9,34.6,100.3,124.4,86.2,86.2,38.2,25365.7,1.53
156,Jun-2020,75.5,40.4,35.2,85.5,13.6,21.4,21.4,-7.8,25698.1,1.31
160,Jun-91,,,,,,,,,,
161,Jul-91,,,,,,,,,,
172,Jun-92,,,,,,,,,,
173,Jul-92,,,,,,,,,,
184,Jun-93,,,,,,,,,,
185,Jul-93,,,,,,,,,,
196,Jun-94,,,,,,,,,,
197,Jul-94,,,,,,,,,,
208,Jun-95,,,,,,,,,,
209,Jul-95,,,,,,,,,,
220,Jun-96,,,,,,,,,,
221,Jul-96,,,,,,,,,,
232,Jun-97,,,,,,,,,,
233,Jul-97,,,,,,,,,,
244,Jun-98,,,,,,,,,,
245,Jul-98,,,,,,,,,,
256,Jun-99,,,,,,,,,,
257,Jul-99,,,,,,,,,,
268,Jun-00,,,,,,,,,,
269,Jul-00,,,,,,,,,,
280,Jun-01,,,,,,,,,,
281,Jul-01,,,,,,,,,,
292,Jun-02,,,,,,,,,,
293,Jul-02,,,,,,,,,,
304,Jun-03,,,,,,,,,,
305,Jul-03,,,,,,,,,,
316,Jun-04,,,,,,,,,,
317,Jul-04,,,,,,,,,,
328,Jun-05,,,,,,,,,,
329,Jul-05,,,,,,,,,,
340,Jun-06,,,,,,,,,,
341,Jul-06,,,,,,,,,,
352,Jun-07,,,,,,,,,,
353,Jul-07,,,,,,,,,,
364,Jun-08,,,,,,,,,,
365,Jul-08,,,,,,,,,,
376,Jun-09,,,,,,,,,,
377,Jul-09,,,,,,,,,,
388,Jun-10,,,,,,,,,,
389,Jul-10,,,,,,,,,,
400,Jun-11,,,,,,,,,,
401,Jul-11,,,,,,,,,,
412,Jun-12,,,,,,,,,,
413,Jul-12,,,,,,,,,,
424,Jun-13,,,,,,,,,,
425,Jul-13,,,,,,,,,,
436,Jun-14,,,,,,,,,,
437,Jul-14,,,,,,,,,,
448,Jun-15,,,,,,,,,,
449,Jul-15,,,,,,,,,,
460,Jun-16,,,,,,,,,,
461,Jul-16,,,,,,,,,,
472,Jun-17,,,,,,,,,,
473,Jul-17,,,,,,,,,,
484,Jun-18,,,,,,,,,,
485,Jul-18,,,,,,,,,,
496,Jun-19,,,,,,,,,,
497,Jul-19,,,,,,,,,,
508,Jun-20,,,,,,,,,,
509,Jul-20,,,,,,,,,,
