Date,Price,Open,High,Low,Vol.,Change %
Feb-95,487.39,470.42,489.19,469.29,-,3.61%
Mar-95,500.71,487.39,508.15,479.7,-,2.73%
Apr-95,514.71,500.7,515.29,500.2,-,2.80%
May-95,533.4,514.76,533.41,513.03,-,3.63%
Jun-95,544.75,533.4,551.07,526,-,2.13%
Jul-95,562.06,544.75,565.4,542.51,-,3.18%
Aug-95,561.88,562.06,565.62,553.04,-,-0.03%
Sep-95,584.41,561.88,587.61,561.01,-,4.01%
Oct-95,581.5,584.41,590.66,571.55,-,-0.50%
Nov-95,605.37,581.5,608.69,581.04,-,4.10%
Dec-95,615.93,605.37,622.88,605.05,-,1.74%
Jan-96,636.02,615.93,636.18,597.29,-,3.26%
Feb-96,640.43,636.02,664.23,633.71,-,0.69%
Mar-96,645.5,640.43,656.97,627.63,-,0.79%
Apr-96,654.17,645.5,656.68,624.14,-,1.34%
May-96,669.12,654.17,681.1,630.07,-,2.29%
Jun-96,670.63,669.12,680.32,658.75,-,0.23%
Jul-96,639.95,670.63,675.88,605.88,-,-4.57%
Aug-96,651.99,639.95,670.68,639.49,-,1.88%
Sep-96,687.33,651.99,690.88,643.97,-,5.42%
Oct-96,705.27,687.31,714.1,684.44,-,2.61%
Nov-96,757.02,705.27,762.12,701.3,-,7.34%
Dec-96,740.74,757.02,761.75,716.69,-,-2.15%
Jan-97,786.16,740.74,794.67,729.55,-,6.13%
Feb-97,790.82,786.16,817.68,773.43,-,0.59%
Mar-97,757.12,790.82,814.9,756.13,-,-4.26%
Apr-97,801.34,757.12,804.13,733.54,-,5.84%
May-97,848.28,801.34,851.87,793.21,-,5.86%
Jun-97,885.14,848.28,902.09,838.82,-,4.35%
Jul-97,954.31,885.14,957.73,884.54,-,7.81%
Aug-97,899.47,954.29,964.17,893.34,-,-5.75%
Sep-97,947.28,899.47,960.59,899.47,-,5.32%
Oct-97,914.62,947.28,983.12,855.27,-,-3.45%
Nov-97,955.4,914.62,964.55,900.61,-,4.46%
Dec-97,970.43,955.4,986.25,924.92,-,1.57%
Jan-98,980.28,970.43,992.65,912.83,-,1.02%
Feb-98,"1,049.34",980.28,"1,051.66",980.28,-,7.04%
Mar-98,"1,101.75","1,049.34","1,113.07","1,030.87",-,4.99%
Apr-98,"1,111.75","1,101.75","1,132.98","1,076.70",-,0.91%
May-98,"1,090.82","1,111.75","1,130.52","1,074.39",-,-1.88%
Jun-98,"1,133.84","1,090.82","1,145.15","1,074.67",-,3.94%
Jul-98,"1,120.67","1,133.84","1,190.58","1,114.30",-,-1.16%
Aug-98,957.28,"1,120.67","1,121.79",957.28,-,-14.58%
Sep-98,"1,017.01",957.28,"1,066.11",939.98,-,6.24%
Oct-98,"1,098.67","1,017.01","1,103.78",923.32,-,8.03%
Nov-98,"1,163.63","1,098.67","1,192.97","1,098.67",-,5.91%
Dec-98,"1,229.23","1,163.63","1,244.93","1,136.89",-,5.64%
Jan-99,"1,279.64","1,229.23","1,280.37","1,205.46",-,4.10%
Feb-99,"1,238.33","1,279.64","1,283.84","1,211.89",-,-3.23%
Mar-99,"1,286.37","1,238.33","1,323.82","1,216.03",-,3.88%
Apr-99,"1,335.18","1,286.37","1,371.56","1,282.56",-,3.79%
May-99,"1,301.84","1,335.18","1,375.98","1,277.31",-,-2.50%
Jun-99,"1,372.71","1,301.84","1,372.93","1,277.47",-,5.44%
Jul-99,"1,328.72","1,372.71","1,420.33","1,328.49",-,-3.20%
Aug-99,"1,320.41","1,328.72","1,382.84","1,267.73",-,-0.63%
Sep-99,"1,282.71","1,320.41","1,361.39","1,256.26",-,-2.86%
Oct-99,"1,362.93","1,282.71","1,373.17","1,233.70",-,6.25%
Nov-99,"1,388.91","1,362.93","1,425.31","1,346.41",-,1.91%
Dec-99,"1,469.25","1,388.91","1,473.10","1,387.38",-,5.78%
Jan-00,"1,394.46","1,469.25","1,478.00","1,350.14",-,-5.09%
Feb-00,"1,366.42","1,394.46","1,444.55","1,325.07",-,-2.01%
Mar-00,"1,498.58","1,366.42","1,552.87","1,346.62",-,9.67%
Apr-00,"1,452.43","1,498.58","1,527.19","1,339.40",-,-3.08%
May-00,"1,420.60","1,452.43","1,481.51","1,361.09",-,-2.19%
Jun-00,"1,454.60","1,420.60","1,488.93","1,420.60",-,2.39%
Jul-00,"1,430.83","1,454.60","1,517.32","1,413.89",-,-1.63%
Aug-00,"1,517.68","1,430.83","1,525.21","1,425.43",-,6.07%
Sep-00,"1,436.51","1,517.68","1,530.09","1,419.44",-,-5.35%
Oct-00,"1,429.40","1,436.52","1,454.82","1,305.79",-,-0.49%
Nov-00,"1,314.95","1,429.40","1,438.46","1,294.90",-,-8.01%
Dec-00,"1,320.28","1,314.95","1,389.05","1,254.07",-,0.41%
Jan-01,"1,366.01","1,320.28","1,383.37","1,274.62",-,3.46%
Feb-01,"1,239.94","1,366.01","1,376.38","1,215.44",-,-9.23%
Mar-01,"1,160.33","1,239.94","1,267.42","1,081.19",-,-6.42%
Apr-01,"1,249.46","1,160.33","1,269.30","1,091.99",-,7.68%
May-01,"1,255.82","1,249.46","1,315.93","1,232.00",-,0.51%
Jun-01,"1,224.38","1,255.82","1,286.62","1,203.03",-,-2.50%
Jul-01,"1,211.23","1,224.42","1,239.78","1,165.54",-,-1.07%
Aug-01,"1,133.58","1,211.23","1,226.27","1,124.87",-,-6.41%
Sep-01,"1,040.94","1,133.58","1,155.40",944.75,-,-8.17%
Oct-01,"1,059.78","1,040.94","1,110.61","1,026.76",-,1.81%
Nov-01,"1,139.45","1,059.78","1,163.38","1,054.31",-,7.52%
Dec-01,"1,148.08","1,139.45","1,173.62","1,114.53",-,0.76%
Jan-02,"1,130.20","1,148.08","1,176.97","1,081.66",-,-1.56%
Feb-02,"1,106.73","1,130.20","1,130.20","1,074.36",-,-2.08%
Mar-02,"1,147.39","1,106.73","1,173.94","1,106.73",-,3.67%
Apr-02,"1,076.92","1,147.39","1,147.84","1,063.46",-,-6.14%
May-02,"1,067.14","1,076.92","1,106.59","1,048.96",-,-0.91%
Jun-02,989.82,"1,067.14","1,070.74",952.92,-,-7.25%
Jul-02,911.62,989.82,994.46,775.68,-,-7.90%
Aug-02,916.07,911.62,965,833.44,-,0.49%
Sep-02,815.28,916.07,924.02,800.2,-,-11.00%
Oct-02,885.76,815.28,907.44,768.63,-,8.64%
Nov-02,936.31,885.76,941.82,872.05,-,5.71%
Dec-02,879.82,936.31,954.28,869.45,-,-6.03%
Jan-03,855.7,879.82,935.05,840.34,-,-2.74%
Feb-03,841.15,855.7,864.64,806.29,-,-1.70%
Mar-03,848.18,841.15,895.9,788.9,-,0.84%
Apr-03,916.92,848.18,924.24,847.85,-,8.10%
May-03,963.59,916.92,965.38,902.83,-,5.09%
Jun-03,974.5,963.59,"1,015.33",963.59,-,1.13%
Jul-03,993.32,974.5,"1,015.41",962.1,-,1.93%
Aug-03,"1,008.01",990.31,"1,011.01",960.84,-,1.48%
Sep-03,995.97,"1,008.01","1,040.29",990.36,-,-1.19%
Oct-03,"1,050.71",995.97,"1,053.79",995.97,-,5.50%
Nov-03,"1,058.20","1,050.71","1,063.65","1,031.20",-,0.71%
Dec-03,"1,111.92","1,058.20","1,112.56","1,053.41",-,5.08%
Jan-04,"1,131.13","1,111.92","1,155.38","1,105.08",-,1.73%
Feb-04,"1,144.94","1,131.13","1,158.98","1,124.44",-,1.22%
Mar-04,"1,126.21","1,144.94","1,163.23","1,087.06",-,-1.64%
Apr-04,"1,107.30","1,126.21","1,150.57","1,107.23",-,-1.68%
May-04,"1,120.68","1,107.30","1,127.74","1,076.32",-,1.21%
Jun-04,"1,140.84","1,120.68","1,146.34","1,113.32",-,1.80%
Jul-04,"1,101.72","1,140.84","1,140.84","1,078.78",-,-3.43%
Aug-04,"1,104.24","1,101.72","1,109.68","1,060.72",-,0.23%
Sep-04,"1,114.58","1,104.24","1,131.54","1,099.11",-,0.94%
Oct-04,"1,130.20","1,114.58","1,142.05","1,090.19",-,1.40%
Nov-04,"1,173.82","1,130.20","1,188.46","1,127.53",-,3.86%
Dec-04,"1,211.92","1,173.78","1,217.33","1,173.76",-,3.25%
Jan-05,"1,181.27","1,211.92","1,217.90","1,163.75",-,-2.53%
Feb-05,"1,203.60","1,181.27","1,212.44","1,180.95",-,1.89%
Mar-05,"1,180.59","1,203.60","1,229.11","1,163.69",-,-1.91%
Apr-05,"1,156.85","1,180.59","1,191.88","1,136.15",-,-2.01%
May-05,"1,191.50","1,156.85","1,199.56","1,146.18",-,3.00%
Jun-05,"1,191.33","1,191.50","1,219.59","1,188.30",-,-0.01%
Jul-05,"1,234.18","1,191.33","1,245.15","1,183.55",-,3.60%
Aug-05,"1,220.33","1,234.18","1,245.86","1,201.07",-,-1.12%
Sep-05,"1,228.81","1,220.33","1,243.13","1,205.35",-,0.69%
Oct-05,"1,207.01","1,228.81","1,233.34","1,168.20",-,-1.77%
Nov-05,"1,249.48","1,207.01","1,270.64","1,201.07",-,3.52%
Dec-05,"1,248.29","1,249.48","1,275.80","1,246.59",-,-0.10%
Jan-06,"1,280.08","1,248.29","1,294.90","1,245.74",-,2.55%
Feb-06,"1,280.66","1,280.08","1,297.57","1,253.61",-,0.05%
Mar-06,"1,294.83","1,280.66","1,310.88","1,268.42",-,1.11%
Apr-06,"1,310.61","1,302.88","1,318.16","1,280.74",-,1.22%
May-06,"1,270.09","1,310.61","1,326.70","1,245.34",-,-3.09%
Jun-06,"1,270.20","1,270.05","1,290.68","1,219.29",-,0.01%
Jul-06,"1,276.66","1,270.06","1,280.42","1,224.54",-,0.51%
Aug-06,"1,303.82","1,278.53","1,306.74","1,261.30",-,2.13%
Sep-06,"1,335.85","1,303.80","1,340.28","1,290.93",-,2.46%
Oct-06,"1,377.94","1,335.82","1,389.45","1,327.10",-,3.15%
Nov-06,"1,400.63","1,377.76","1,407.89","1,360.98",-,1.65%
Dec-06,"1,418.30","1,400.63","1,431.81","1,385.93",-,1.26%
Jan-07,"1,438.24","1,418.03","1,441.61","1,403.97",-,1.41%
Feb-07,"1,406.82","1,437.90","1,461.57","1,389.42",-,-2.18%
Mar-07,"1,420.86","1,406.80","1,438.89","1,363.98",-,1.00%
Apr-07,"1,482.37","1,420.83","1,498.02","1,416.37",-,4.33%
May-07,"1,530.62","1,482.37","1,535.56","1,476.70",-,3.25%
Jun-07,"1,503.35","1,530.62","1,540.56","1,484.18",-,-1.78%
Jul-07,"1,455.27","1,504.66","1,555.90","1,454.25",-,-3.20%
Aug-07,"1,473.99","1,455.18","1,503.89","1,370.60",-,1.29%
Sep-07,"1,526.75","1,473.96","1,538.74","1,439.29",-,3.58%
Oct-07,"1,549.38","1,527.29","1,576.09","1,489.56",-,1.48%
Nov-07,"1,481.14","1,545.79","1,545.79","1,406.10",-,-4.40%
Dec-07,"1,468.36","1,479.63","1,523.57","1,435.65",-,-0.86%
Jan-08,"1,378.55","1,467.97","1,471.77","1,270.05",-,-6.12%
Feb-08,"1,330.63","1,378.60","1,396.02","1,316.75",-,-3.48%
Mar-08,"1,322.70","1,330.45","1,359.68","1,256.98",-,-0.60%
Apr-08,"1,385.59","1,326.41","1,404.57","1,324.35",-,4.75%
May-08,"1,400.38","1,385.97","1,440.24","1,373.07",-,1.07%
Jun-08,"1,280.00","1,399.62","1,404.05","1,272.00",-,-8.60%
Jul-08,"1,267.38","1,276.69","1,292.17","1,200.44",-,-0.99%
Aug-08,"1,282.83","1,269.42","1,313.15","1,247.45",-,1.22%
Sep-08,"1,166.36","1,287.83","1,303.04","1,106.39",-,-9.08%
Oct-08,968.75,"1,164.17","1,167.03",839.8,-,-16.94%
Nov-08,896.24,968.67,"1,007.51",741.02,-,-7.48%
Dec-08,903.25,888.61,918.85,815.69,-,0.78%
Jan-09,825.88,902.99,943.85,804.3,-,-8.57%
Feb-09,735.09,823.09,875.01,734.52,-,-10.99%
Mar-09,797.87,729.57,832.98,666.79,-,8.54%
Apr-09,872.81,793.59,888.7,783.32,-,9.39%
May-09,919.14,872.74,930.17,866.1,-,5.31%
Jun-09,919.32,923.26,956.23,888.86,-,0.02%
Jul-09,987.48,920.82,996.68,869.32,-,7.41%
Aug-09,"1,020.62",990.22,"1,039.47",978.51,-,3.36%
Sep-09,"1,057.08","1,019.52","1,080.15",991.97,-,3.57%
Oct-09,"1,036.19","1,054.91","1,101.36","1,019.95",-,-1.98%
Nov-09,"1,095.63","1,036.18","1,113.69","1,029.38",-,5.74%
Dec-09,"1,115.10","1,098.89","1,130.38","1,085.89",-,1.78%
Jan-10,"1,073.87","1,116.56","1,150.45","1,071.59",-,-3.70%
Feb-10,"1,104.49","1,073.89","1,112.42","1,044.50",-,2.85%
Mar-10,"1,169.43","1,105.36","1,180.69","1,105.36",-,5.88%
Apr-10,"1,186.69","1,171.23","1,219.80","1,170.69",-,1.48%
May-10,"1,089.41","1,188.58","1,205.13","1,040.78",-,-8.20%
Jun-10,"1,030.71","1,087.30","1,131.23","1,028.33",-,-5.39%
Jul-10,"1,101.60","1,031.10","1,120.95","1,010.91",-,6.88%
Aug-10,"1,049.33","1,107.53","1,129.24","1,039.70",-,-4.74%
Sep-10,"1,141.20","1,049.72","1,157.16","1,049.72",-,8.76%
Oct-10,"1,183.26","1,143.49","1,196.14","1,131.87",-,3.69%
Nov-10,"1,180.55","1,185.71","1,227.08","1,173.00",-,-0.23%
Dec-10,"1,257.64","1,186.60","1,262.60","1,186.60",-,6.53%
Jan-11,"1,286.12","1,257.62","1,302.67","1,257.62",-,2.26%
Feb-11,"1,327.22","1,289.14","1,344.07","1,289.14",-,3.20%
Mar-11,"1,325.83","1,328.64","1,332.28","1,249.05",-,-0.10%
Apr-11,"1,363.61","1,329.48","1,364.56","1,294.70",-,2.85%
May-11,"1,345.20","1,365.21","1,370.58","1,311.80",-,-1.35%
Jun-11,"1,320.64","1,345.20","1,345.20","1,258.07",-,-1.83%
Jul-11,"1,292.28","1,320.64","1,356.48","1,282.86",-,-2.15%
Aug-11,"1,218.89","1,292.59","1,307.38","1,101.54",-,-5.68%
Sep-11,"1,131.42","1,219.12","1,229.29","1,114.22",-,-7.18%
Oct-11,"1,253.30","1,131.21","1,292.66","1,074.77",-,10.77%
Nov-11,"1,246.96","1,251.00","1,277.55","1,158.66",-,-0.51%
Dec-11,"1,257.60","1,246.91","1,269.37","1,202.37",-,0.85%
Jan-12,"1,312.41","1,258.86","1,333.47","1,258.86",-,4.36%
Feb-12,"1,365.68","1,312.45","1,378.04","1,312.45",-,4.06%
Mar-12,"1,408.47","1,365.90","1,419.15","1,340.03",-,3.13%
Apr-12,"1,397.91","1,408.47","1,422.38","1,357.38",-,-0.75%
May-12,"1,310.33","1,397.86","1,415.32","1,291.98",-,-6.27%
Jun-12,"1,362.16","1,309.87","1,363.46","1,266.74",-,3.96%
Jul-12,"1,379.32","1,362.33","1,391.74","1,325.41",-,1.26%
Aug-12,"1,406.58","1,379.32","1,426.68","1,354.65",-,1.98%
Sep-12,"1,440.67","1,406.54","1,474.51","1,396.56",-,2.42%
Oct-12,"1,412.16","1,440.90","1,470.96","1,403.28",-,-1.98%
Nov-12,"1,416.18","1,412.20","1,434.27","1,343.35",-,0.28%
Dec-12,"1,426.19","1,416.34","1,448.00","1,398.11",-,0.71%
Jan-13,"1,498.11","1,426.19","1,509.94","1,426.19",-,5.04%
Feb-13,"1,514.68","1,498.11","1,530.94","1,485.01",-,1.11%
Mar-13,"1,569.19","1,514.68","1,570.28","1,501.48",-,3.60%
Apr-13,"1,597.57","1,569.18","1,597.57","1,536.03",-,1.81%
May-13,"1,630.74","1,597.55","1,687.18","1,581.28",-,2.08%
Jun-13,"1,606.28","1,631.71","1,654.19","1,560.33",-,-1.50%
Jul-13,"1,685.73","1,609.78","1,698.78","1,604.57",-,4.95%
Aug-13,"1,632.97","1,689.42","1,709.67","1,627.47",-,-3.13%
Sep-13,"1,681.55","1,635.95","1,729.86","1,633.41",-,2.97%
Oct-13,"1,756.54","1,682.41","1,775.22","1,646.47",-,4.46%
Nov-13,"1,805.81","1,758.70","1,813.55","1,746.20",-,2.80%
Dec-13,"1,848.36","1,806.55","1,849.44","1,767.99",-,2.36%
Jan-14,"1,782.59","1,845.86","1,850.84","1,770.45",-,-3.56%
Feb-14,"1,859.45","1,782.68","1,867.92","1,737.92",-,4.31%
Mar-14,"1,872.34","1,857.68","1,883.97","1,834.44",-,0.69%
Apr-14,"1,883.95","1,873.96","1,897.28","1,814.36",-,0.62%
May-14,"1,923.57","1,884.39","1,924.03","1,859.79",-,2.10%
Jun-14,"1,960.23","1,923.87","1,968.17","1,915.98",-,1.91%
Jul-14,"1,930.67","1,962.29","1,991.39","1,930.67",-,-1.51%
Aug-14,"2,003.37","1,929.80","2,005.04","1,904.78",-,3.77%
Sep-14,"1,972.29","2,004.07","2,019.26","1,964.04",-,-1.55%
Oct-14,"2,018.05","1,971.44","2,018.19","1,820.66",-,2.32%
Nov-14,"2,067.56","2,018.21","2,075.76","2,001.01",-,2.45%
Dec-14,"2,058.90","2,065.78","2,093.55","1,972.56",-,-0.42%
Jan-15,"1,994.99","2,058.90","2,072.36","1,988.12",-,-3.10%
Feb-15,"2,104.50","1,996.67","2,119.59","1,980.90",-,5.49%
Mar-15,"2,067.89","2,105.23","2,117.52","2,039.69",-,-1.74%
Apr-15,"2,085.51","2,067.63","2,125.92","2,048.38",-,0.85%
May-15,"2,107.39","2,087.38","2,134.72","2,067.93",-,1.05%
Jun-15,"2,063.11","2,108.64","2,129.87","2,056.32",-,-2.10%
Jul-15,"2,103.84","2,067.00","2,132.82","2,044.02",-,1.97%
Aug-15,"1,972.18","2,104.49","2,112.66","1,867.01",-,-6.26%
Sep-15,"1,920.03","1,970.09","2,020.86","1,871.91",-,-2.64%
Oct-15,"2,079.36","1,919.65","2,094.32","1,893.70",-,8.30%
Nov-15,"2,080.41","2,080.76","2,116.48","2,019.39",-,0.05%
Dec-15,"2,043.94","2,082.93","2,104.27","1,993.26",-,-1.75%
Jan-16,"1,940.24","2,038.20","2,038.20","1,812.29",-,-5.07%
Feb-16,"1,932.23","1,936.94","1,962.96","1,810.10",-,-0.41%
Mar-16,"2,059.74","1,937.09","2,072.21","1,937.09",-,6.60%
Apr-16,"2,065.30","2,056.62","2,111.05","2,033.80",-,0.27%
May-16,"2,096.96","2,067.17","2,103.48","2,025.91",-,1.53%
Jun-16,"2,098.86","2,093.94","2,120.55","1,991.68",-,0.09%
Jul-16,"2,173.60","2,099.34","2,177.09","2,074.02",-,3.56%
Aug-16,"2,170.95","2,173.15","2,193.81","2,147.58",-,-0.12%
Sep-16,"2,168.27","2,171.33","2,187.87","2,119.12",-,-0.12%
Oct-16,"2,126.15","2,164.33","2,169.60","2,114.72",-,-1.94%
Nov-16,"2,198.81","2,128.68","2,214.10","2,083.79",-,3.42%
Dec-16,"2,238.83","2,200.17","2,277.53","2,187.44",-,1.82%
Jan-17,"2,278.87","2,251.57","2,300.99","2,245.13",-,1.79%
Feb-17,"2,363.64","2,285.59","2,371.54","2,271.65",-,3.72%
Mar-17,"2,362.72","2,380.13","2,400.98","2,322.25",-,-0.04%
Apr-17,"2,384.20","2,362.34","2,398.16","2,328.95",-,0.91%
May-17,"2,411.80","2,388.50","2,418.71","2,352.72",-,1.16%
Jun-17,"2,423.41","2,415.65","2,453.82","2,405.70",-,0.48%
Jul-17,"2,470.30","2,431.39","2,484.04","2,407.70",-,1.93%
Aug-17,"2,471.65","2,477.10","2,490.87","2,417.35",-,0.05%
Sep-17,"2,519.36","2,474.42","2,519.44","2,446.55",-,1.93%
Oct-17,"2,575.26","2,521.20","2,582.98","2,520.40",-,2.22%
Nov-17,"2,647.58","2,583.21","2,657.74","2,557.45",-,2.81%
Dec-17,"2,673.61","2,645.10","2,694.97","2,605.52",-,0.98%
Jan-18,"2,823.81","2,683.73","2,872.87","2,682.36",-,5.62%
Feb-18,"2,713.83","2,816.45","2,835.96","2,532.69",-,-3.89%
Mar-18,"2,640.87","2,715.22","2,801.90","2,585.89",-,-2.69%
Apr-18,"2,648.05","2,633.45","2,717.49","2,553.80",-,0.27%
May-18,"2,705.27","2,643.64","2,742.24","2,594.62",-,2.16%
Jun-18,"2,718.37","2,718.70","2,791.47","2,691.99",-,0.48%
Jul-18,"2,816.29","2,704.95","2,848.03","2,698.95",-,3.60%
Aug-18,"2,901.52","2,821.17","2,916.50","2,796.34",-,3.03%
Sep-18,"2,913.98","2,896.96","2,940.91","2,864.12",-,0.43%
Oct-18,"2,711.74","2,926.29","2,939.86","2,603.54",-,-6.94%
Nov-18,"2,760.17","2,717.58","2,815.15","2,631.09",-,1.79%
Dec-18,"2,506.85","2,790.50","2,800.18","2,346.58",-,-9.18%
Jan-19,"2,704.10","2,476.96","2,708.95","2,443.96",-,7.87%
Feb-19,"2,784.49","2,702.32","2,813.49","2,681.83",-,2.97%
Mar-19,"2,834.40","2,798.22","2,860.31","2,722.27",-,1.79%
Apr-19,"2,945.83","2,848.63","2,949.52","2,848.63",-,3.93%
May-19,"2,752.06","2,952.33","2,954.13","2,750.52",-,-6.58%
Jun-19,"2,941.76","2,751.53","2,964.15","2,728.81",-,6.89%
Jul-19,"2,980.38","2,971.41","3,027.98","2,952.22",-,1.31%
Aug-19,"2,926.46","2,980.32","3,013.59","2,822.12",-,-1.81%
Sep-19,"2,976.74","2,909.01","3,021.99","2,891.85",-,1.72%
Oct-19,"3,037.56","2,983.69","3,050.10","2,855.94",-,2.04%
Nov-19,"3,140.98","3,050.72","3,154.26","3,050.72",-,3.40%
Dec-19,"3,230.78","3,143.85","3,247.93","3,070.33",-,2.86%
Jan-20,"3,225.52","3,244.67","3,337.77","3,214.64",-,-0.16%
Feb-20,"2,954.22","3,235.66","3,393.52","2,855.84",-,-8.41%
Mar-20,"2,584.59","2,974.28","3,136.72","2,191.86",-,-12.51%
Apr-20,"2,912.43","2,498.08","2,954.86","2,447.49",-,12.68%
May-20,"3,044.31","2,869.09","3,068.67","2,766.64",-,4.53%
Jun-20,"3,100.29","3,038.78","3,233.13","2,965.66",-,1.84%
Jul-20,"3,271.12","3,105.92","3,279.99","3,101.17",-,5.51%
